nome_completo,filiacao_pai,filiacao_mae,data_nascimento,sexo,naturalidade,local_tirou_cidade,local_tirou_estado,estado_completo,data_emissao,validade_identidade,orgao_emissor,cpf
Luiz Henrique Almeida,Henrique Pimenta,Letícia da Mata,19/01/1961,F,Mendes - RJ,Carvalho Grande,RN,Estado do Rio Grande do Norte,14/06/2018,14/06/2025,Instituto de Identificacao / SSP RN,186.918.374-98
Manuela Andrade,Diogo Pastor,Rebeca Cassiano,03/07/2010,F,Oliveira - SP,Caldeira do Campo,AC,Estado do Acre,19/09/2013,19/09/2018,Instituto de Identificacao / SSP AC,251.019.814-72
Ravy da Luz,Dom Sales,Gabriela Novaes,11/09/1960,F,Sousa do Oeste - AC,Albuquerque de Pimenta,MG,Estado de Minas Gerais,27/06/2025,27/06/2031,Instituto de Identificacao / SSP MG,563.709.799-20
Bruna Câmara,Alexandre da Luz,Lara Souza,25/03/2005,F,da Rocha do Norte - MG,Nascimento,PA,Estado do Pará,21/02/2013,21/02/2022,Instituto de Identificacao / SSP PA,577.632.674-88
Lucca Freitas,Theodoro Albuquerque,Carolina Pires,03/04/2013,M,Jesus - SC,Leão,RS,Estado do Rio Grande do Sul,29/10/2012,29/10/2020,Instituto de Identificacao,382.583.847-57
Davi Lucas Mendes,Isaac Guerra,Kamilly Brito,18/12/1995,M,Freitas - RO,Teixeira Verde,AP,Estado do Amapá,31/01/2015,31/01/2025,Instituto de Identificacao / PC AP,674.662.955-04
Stella Fernandes,Lucas Gabriel Melo,Rebeca Novaes,29/12/1982,M,Sales - PA,Marques Grande,RS,Estado do Rio Grande do Sul,03/06/2016,03/06/2024,Instituto de Identificacao / SSP RS,948.042.313-90
Alexandre Viana,Davi Miguel Mendes,Vitória Câmara,26/04/1947,M,Cavalcanti da Mata - RR,Camargo de Costa,MT,Estado de Mato Grosso,25/04/2021,25/04/2031,Instituto de Identificacao,209.332.192-92
Cauã Moura,João Felipe Costa,Helena Barros,08/05/1966,M,Albuquerque do Campo - AP,Silva da Praia,SC,Estado de Santa Catarina,21/12/2021,21/12/2031,Instituto de Identificacao / PC SC,467.571.589-03
Vitor Mendes,Renan Ramos,Elisa da Mata,25/04/1955,F,Barbosa Verde - RS,Sampaio,MG,Estado de Minas Gerais,16/10/2023,16/10/2032,Instituto de Identificacao / SSP MG,860.442.308-99
Alana Câmara,Luiz Miguel Câmara,Maria Fernanda Cunha,20/07/2006,F,Fernandes Grande - RN,Farias,MG,Estado de Minas Gerais,03/10/2013,03/10/2021,Instituto de Identificacao / SSP MG,665.081.507-66
Yuri Freitas,Pietro Sá,Maysa Correia,17/02/2000,M,da Rocha - AM,Costa de Moraes,AM,Estado do Amazonas,17/02/2018,17/02/2023,Instituto de Identificacao,005.283.112-40
Bella Correia,Vitor Hugo Mendonça,Antonella Casa Grande,08/08/1986,F,Barros da Serra - SE,Santos dos Dourados,AP,Estado do Amapá,27/10/2017,27/10/2024,Instituto de Identificacao,178.926.423-32
